region,city,country,utility_primary,heating_degree_days,heat_pump_rebate,heat_pump_system_size,heat_pump_cost,heat_pump_annual_savings,heat_pump_payback_years,solar_rebate,solar_kw,solar_cost,solar_annual_savings,solar_payback_years,battery_rebate,battery_kwh,battery_cost,water_heater_rebate,insulation_rebate,windows_rebate,ev_charger_rebate,thermostat_rebate,notes,source_utility,source_state,source_city,verified_date
bc,Penticton,CA,BC Hydro,4200,"$4,000-$16,000",3-4 ton,"$12,000-$18,000","$800-$1,200",11-15,"$1,000-$5,000",4-6 kW,"$18,000-$22,000","$800-$1,200",10-15,"$1,500-$5,000",10-15 kWh,"$10,000-$15,000","$1,000","$1,000-$5,000","$500-$2,000","$350-$1,050",Free,Data sourced from official BC utility programs and government rebate resources. Income qualification varies by program.,BC Hydro,BC,Penticton,2026-08-17
bc,Prince George,CA,BC Hydro,5800,"$4,000-$16,000",3-4 ton,"$12,000-$18,000","$800-$1,200",11-15,"$1,000-$5,000",4-6 kW,"$18,000-$22,000","$800-$1,200",10-15,"$1,500-$5,000",10-15 kWh,"$10,000-$15,000","$1,000","$1,000-$5,000","$500-$2,000","$350-$1,050",Free,Data sourced from official BC utility programs and government rebate resources. Income qualification varies by program.,BC Hydro,BC,Prince George,2026-08-17
bc,Richmond,CA,BC Hydro,3600,"$4,000-$16,000",3-4 ton,"$12,000-$18,000","$800-$1,200",11-15,"$1,000-$5,000",4-6 kW,"$18,000-$22,000","$800-$1,200",10-15,"$1,500-$5,000",10-15 kWh,"$10,000-$15,000","$1,000","$1,000-$5,000","$500-$2,000","$350-$1,050",Free,Data sourced from official BC utility programs and government rebate resources. Income qualification varies by program.,BC Hydro,BC,Richmond,2026-08-17
bc,Squamish,CA,BC Hydro,3900,"$4,000-$16,000",3-4 ton,"$12,000-$18,000","$800-$1,200",11-15,"$1,000-$5,000",4-6 kW,"$18,000-$22,000","$800-$1,200",10-15,"$1,500-$5,000",10-15 kWh,"$10,000-$15,000","$1,000","$1,000-$5,000","$500-$2,000","$350-$1,050",Free,Data sourced from official BC utility programs and government rebate resources. Income qualification varies by program.,BC Hydro,BC,Squamish,2026-08-17
bc,Surrey,CA,BC Hydro,3700,"$4,000-$16,000",3-4 ton,"$12,000-$18,000","$800-$1,200",11-15,"$1,000-$5,000",4-6 kW,"$18,000-$22,000","$800-$1,200",10-15,"$1,500-$5,000",10-15 kWh,"$10,000-$15,000","$1,000","$1,000-$5,000","$500-$2,000","$350-$1,050",Free,Data sourced from official BC utility programs and government rebate resources. Income qualification varies by program.,BC Hydro,BC,Surrey,2026-08-17
bc,Vancouver,CA,BC Hydro,3500,"$4,000-$16,000",3-4 ton,"$12,000-$18,000","$800-$1,200",11-15,"$1,000-$5,000",4-6 kW,"$18,000-$22,000","$800-$1,200",10-15,"$1,500-$5,000",10-15 kWh,"$10,000-$15,000","$1,000","$1,000-$5,000","$500-$2,000","$350-$1,050",Free,Data sourced from official BC utility programs and government rebate resources. Income qualification varies by program.,BC Hydro,BC,Vancouver,2026-08-17
bc,Vernon,CA,BC Hydro,4600,"$4,000-$16,000",3-4 ton,"$12,000-$18,000","$800-$1,200",11-15,"$1,000-$5,000",4-6 kW,"$18,000-$22,000","$800-$1,200",10-15,"$1,500-$5,000",10-15 kWh,"$10,000-$15,000","$1,000","$1,000-$5,000","$500-$2,000","$350-$1,050",Free,Data sourced from official BC utility programs and government rebate resources. Income qualification varies by program.,BC Hydro,BC,Vernon,2026-08-17
bc,Victoria,CA,BC Hydro,3200,"$4,000-$16,000",3-4 ton,"$12,000-$18,000","$800-$1,200",11-15,"$1,000-$5,000",4-6 kW,"$18,000-$22,000","$800-$1,200",10-15,"$1,500-$5,000",10-15 kWh,"$10,000-$15,000","$1,000","$1,000-$5,000","$500-$2,000","$350-$1,050",Free,Data sourced from official BC utility programs and government rebate resources. Income qualification varies by program.,BC Hydro,BC,Victoria,2026-08-17
on,Barrie,CA,Barrie Hydro,5200,"$5,000-$12,000",3-4 ton,"$12,000-$18,000","$800-$1,200",12-15,"$5,000",5-6 kW,"$18,000-$22,000",$600-$900,15-20,"$5,000",10 kWh,"$10,000-$12,000",$500,"$1,250-$7,700","$100-$2,000",$0,$100,Data sourced from official ON utility programs and government rebate resources. Income qualification varies by program.,Barrie Hydro,ON,Barrie,2026-08-17
on,Brampton,CA,Alectra Utilities,4500,"$5,000-$12,000",3-4 ton,"$12,000-$18,000","$800-$1,200",12-15,"$5,000",5-6 kW,"$18,000-$22,000",$600-$900,15-20,"$5,000",10 kWh,"$10,000-$12,000",$500,"$1,250-$7,700","$100-$2,000",$0,$100,Data sourced from official ON utility programs and government rebate resources. Income qualification varies by program.,Alectra Utilities,ON,Brampton,2026-08-17
on,Cambridge,CA,Kitchener-Wilmot Hydro,5100,"$5,000-$12,000",3-4 ton,"$12,000-$18,000","$800-$1,200",12-15,"$5,000",5-6 kW,"$18,000-$22,000",$600-$900,15-20,"$5,000",10 kWh,"$10,000-$12,000",$500,"$1,250-$7,700","$100-$2,000",$0,$100,Data sourced from official ON utility programs and government rebate resources. Income qualification varies by program.,Kitchener-Wilmot Hydro,ON,Cambridge,2026-08-17
on,Guelph,CA,Guelph Hydro,5000,"$5,000-$12,000",3-4 ton,"$12,000-$18,000","$800-$1,200",12-15,"$5,000",5-6 kW,"$18,000-$22,000",$600-$900,15-20,"$5,000",10 kWh,"$10,000-$12,000",$500,"$1,250-$7,700","$100-$2,000",$0,$100,Data sourced from official ON utility programs and government rebate resources. Income qualification varies by program.,Guelph Hydro,ON,Guelph,2026-08-17
on,Hamilton,CA,Alectra Utilities,4700,"$5,000-$12,000",3-4 ton,"$12,000-$18,000","$800-$1,200",12-15,"$5,000",5-6 kW,"$18,000-$22,000",$600-$900,15-20,"$5,000",10 kWh,"$10,000-$12,000",$500,"$1,250-$7,700","$100-$2,000",$0,$100,Data sourced from official ON utility programs and government rebate resources. Income qualification varies by program.,Alectra Utilities,ON,Hamilton,2026-08-17
on,Kingston,CA,Utilities Kingston,4900,"$5,000-$12,000",3-4 ton,"$12,000-$18,000","$800-$1,200",12-15,"$5,000",5-6 kW,"$18,000-$22,000",$600-$900,15-20,"$5,000",10 kWh,"$10,000-$12,000",$500,"$1,250-$7,700","$100-$2,000",$0,$100,Data sourced from official ON utility programs and government rebate resources. Income qualification varies by program.,Utilities Kingston,ON,Kingston,2026-08-17
on,Kitchener Waterloo,CA,Kitchener-Wilmot Hydro,5100,"$5,000-$12,000",3-4 ton,"$12,000-$18,000","$800-$1,200",12-15,"$5,000",5-6 kW,"$18,000-$22,000",$600-$900,15-20,"$5,000",10 kWh,"$10,000-$12,000",$500,"$1,250-$7,700","$100-$2,000",$0,$100,Data sourced from official ON utility programs and government rebate resources. Income qualification varies by program.,Kitchener-Wilmot Hydro,ON,Kitchener Waterloo,2026-08-17
on,London,CA,London Hydro,5000,"$5,000-$12,000",3-4 ton,"$12,000-$18,000","$800-$1,200",12-15,"$5,000",5-6 kW,"$18,000-$22,000",$600-$900,15-20,"$5,000",10 kWh,"$10,000-$12,000",$500,"$1,250-$7,700","$100-$2,000",$0,$100,Data sourced from official ON utility programs and government rebate resources. Income qualification varies by program.,London Hydro,ON,London,2026-08-17
on,Markham,CA,Alectra Utilities,4600,"$5,000-$12,000",3-4 ton,"$12,000-$18,000","$800-$1,200",12-15,"$5,000",5-6 kW,"$18,000-$22,000",$600-$900,15-20,"$5,000",10 kWh,"$10,000-$12,000",$500,"$1,250-$7,700","$100-$2,000",$0,$100,Data sourced from official ON utility programs and government rebate resources. Income qualification varies by program.,Alectra Utilities,ON,Markham,2026-08-17
on,Mississauga,CA,Alectra Utilities,4500,"$5,000-$12,000",3-4 ton,"$12,000-$18,000","$800-$1,200",12-15,"$5,000",5-6 kW,"$18,000-$22,000",$600-$900,15-20,"$5,000",10 kWh,"$10,000-$12,000",$500,"$1,250-$7,700","$100-$2,000",$0,$100,Data sourced from official ON utility programs and government rebate resources. Income qualification varies by program.,Alectra Utilities,ON,Mississauga,2026-08-17
on,Niagara Falls,CA,Alectra Utilities,4600,"$5,000-$12,000",3-4 ton,"$12,000-$18,000","$800-$1,200",12-15,"$5,000",5-6 kW,"$18,000-$22,000",$600-$900,15-20,"$5,000",10 kWh,"$10,000-$12,000",$500,"$1,250-$7,700","$100-$2,000",$0,$100,Data sourced from official ON utility programs and government rebate resources. Income qualification varies by program.,Alectra Utilities,ON,Niagara Falls,2026-08-17
on,Ottawa,CA,Hydro Ottawa,4900,"$5,000-$12,000",3-4 ton,"$12,000-$18,000","$800-$1,200",12-15,"$5,000",5-6 kW,"$18,000-$22,000",$600-$900,15-20,"$5,000",10 kWh,"$10,000-$12,000",$500,"$1,250-$7,700","$100-$2,000",$0,$100,Data sourced from official ON utility programs and government rebate resources. Income qualification varies by program.,Hydro Ottawa,ON,Ottawa,2026-08-17
on,Peterborough,CA,Peterborough Utilities Commission,5200,"$5,000-$12,000",3-4 ton,"$12,000-$18,000","$800-$1,200",12-15,"$5,000",5-6 kW,"$18,000-$22,000",$600-$900,15-20,"$5,000",10 kWh,"$10,000-$12,000",$500,"$1,250-$7,700","$100-$2,000",$0,$100,Data sourced from official ON utility programs and government rebate resources. Income qualification varies by program.,Peterborough Utilities Commission,ON,Peterborough,2026-08-17
on,Sault Ste Marie,CA,Sault Ste. Marie Public Utilities,5900,"$5,000-$12,000",3-4 ton,"$12,000-$18,000","$800-$1,200",12-15,"$5,000",5-6 kW,"$18,000-$22,000",$600-$900,15-20,"$5,000",10 kWh,"$10,000-$12,000",$500,"$1,250-$7,700","$100-$2,000",$0,$100,Data sourced from official ON utility programs and government rebate resources. Income qualification varies by program.,Sault Ste. Marie Public Utilities,ON,Sault Ste Marie,2026-08-17
on,Sudbury,CA,Greater Sudbury Utilities,5800,"$5,000-$12,000",3-4 ton,"$12,000-$18,000","$800-$1,200",12-15,"$5,000",5-6 kW,"$18,000-$22,000",$600-$900,15-20,"$5,000",10 kWh,"$10,000-$12,000",$500,"$1,250-$7,700","$100-$2,000",$0,$100,Data sourced from official ON utility programs and government rebate resources. Income qualification varies by program.,Greater Sudbury Utilities,ON,Sudbury,2026-08-17
on,Thunder Bay,CA,Thunder Bay Hydro,6200,"$5,000-$12,000",3-4 ton,"$12,000-$18,000","$800-$1,200",12-15,"$5,000",5-6 kW,"$18,000-$22,000",$600-$900,15-20,"$5,000",10 kWh,"$10,000-$12,000",$500,"$1,250-$7,700","$100-$2,000",$0,$100,Data sourced from official ON utility programs and government rebate resources. Income qualification varies by program.,Thunder Bay Hydro,ON,Thunder Bay,2026-08-17
on,Timmins,CA,Hydro One,6100,"$5,000-$12,000",3-4 ton,"$12,000-$18,000","$800-$1,200",12-15,"$5,000",5-6 kW,"$18,000-$22,000",$600-$900,15-20,"$5,000",10 kWh,"$10,000-$12,000",$500,"$1,250-$7,700","$100-$2,000",$0,$100,Data sourced from official ON utility programs and government rebate resources. Income qualification varies by program.,Hydro One,ON,Timmins,2026-08-17
on,Toronto,CA,Toronto Hydro,4500,"$5,000-$12,000",3-4 ton,"$12,000-$18,000","$800-$1,200",12-15,"$5,000",5-6 kW,"$18,000-$22,000",$600-$900,15-20,"$5,000",10 kWh,"$10,000-$12,000",$500,"$1,250-$7,700","$100-$2,000",$0,$100,Data sourced from official ON utility programs and government rebate resources. Income qualification varies by program.,Toronto Hydro,ON,Toronto,2026-08-17
on,Vaughan,CA,Alectra Utilities,4600,"$5,000-$12,000",3-4 ton,"$12,000-$18,000","$800-$1,200",12-15,"$5,000",5-6 kW,"$18,000-$22,000",$600-$900,15-20,"$5,000",10 kWh,"$10,000-$12,000",$500,"$1,250-$7,700","$100-$2,000",$0,$100,Data sourced from official ON utility programs and government rebate resources. Income qualification varies by program.,Alectra Utilities,ON,Vaughan,2026-08-17
on,Windsor,CA,Enwin Utilities,4800,"$5,000-$12,000",3-4 ton,"$12,000-$18,000","$800-$1,200",12-15,"$5,000",5-6 kW,"$18,000-$22,000",$600-$900,15-20,"$5,000",10 kWh,"$10,000-$12,000",$500,"$1,250-$7,700","$100-$2,000",$0,$100,Data sourced from official ON utility programs and government rebate resources. Income qualification varies by program.,Enwin Utilities,ON,Windsor,2026-08-17
ab,Calgary,CA,Enmax,5500,"$2,000-$5,000",3-4 ton,"$12,000-$18,000","$600-$1,000",15-20,"$0-$2,000",4-6 kW,"$18,000-$22,000","$600-$1,000",18-22,$0,10 kWh,"$10,000-$12,000",$500,"$1,000-$3,000",$0-$500,$0,$0,Alberta rebates vary by utility and program availability. No province-wide coordinated program like BC/ON.,Enmax,AB,Calgary,2026-08-17
ab,Edmonton,CA,EPCOR,5800,"$2,000-$5,000",3-4 ton,"$12,000-$18,000","$600-$1,000",15-20,"$0-$2,000",4-6 kW,"$18,000-$22,000","$600-$1,000",18-22,$0,10 kWh,"$10,000-$12,000",$500,"$1,000-$3,000",$0-$500,$0,$0,Alberta rebates vary by utility and program availability. No province-wide coordinated program like BC/ON.,EPCOR,AB,Edmonton,2026-08-17
ab,Fort Mcmurray,CA,Northland Utilities,6500,"$2,000-$5,000",3-4 ton,"$12,000-$18,000","$600-$1,000",15-20,"$0-$2,000",4-6 kW,"$18,000-$22,000","$600-$1,000",18-22,$0,10 kWh,"$10,000-$12,000",$500,"$1,000-$3,000",$0-$500,$0,$0,Alberta rebates vary by utility and program availability. No province-wide coordinated program like BC/ON.,Northland Utilities,AB,Fort Mcmurray,2026-08-17
ab,Lethbridge,CA,Fortis Alberta,5200,"$2,000-$5,000",3-4 ton,"$12,000-$18,000","$600-$1,000",15-20,"$0-$2,000",4-6 kW,"$18,000-$22,000","$600-$1,000",18-22,$0,10 kWh,"$10,000-$12,000",$500,"$1,000-$3,000",$0-$500,$0,$0,Alberta rebates vary by utility and program availability. No province-wide coordinated program like BC/ON.,Fortis Alberta,AB,Lethbridge,2026-08-17
ab,Red Deer,CA,EPCOR,5900,"$2,000-$5,000",3-4 ton,"$12,000-$18,000","$600-$1,000",15-20,"$0-$2,000",4-6 kW,"$18,000-$22,000","$600-$1,000",18-22,$0,10 kWh,"$10,000-$12,000",$500,"$1,000-$3,000",$0-$500,$0,$0,Alberta rebates vary by utility and program availability. No province-wide coordinated program like BC/ON.,EPCOR,AB,Red Deer,2026-08-17
ab,St Albert,CA,EPCOR,5900,"$2,000-$5,000",3-4 ton,"$12,000-$18,000","$600-$1,000",15-20,"$0-$2,000",4-6 kW,"$18,000-$22,000","$600-$1,000",18-22,$0,10 kWh,"$10,000-$12,000",$500,"$1,000-$3,000",$0-$500,$0,$0,Alberta rebates vary by utility and program availability. No province-wide coordinated program like BC/ON.,EPCOR,AB,St Albert,2026-08-17
ns,Cape Breton,CA,Nova Scotia Power,4800,"$3,000-$5,000",3-4 ton,"$12,000-$18,000","$600-$1,000",15-20,"$0-$2,000",4-6 kW,"$18,000-$22,000",$400-$700,20-25,$0,10 kWh,"$10,000-$12,000",$500,"$1,000-$3,000",$0-$500,$0,$0,Nova Scotia rebates limited. Primary utility is Nova Scotia Power. No coordinated provincial program.,Nova Scotia Power,NS,Cape Breton,2026-08-17
ns,Halifax,CA,Nova Scotia Power,4500,"$3,000-$5,000",3-4 ton,"$12,000-$18,000","$600-$1,000",15-20,"$0-$2,000",4-6 kW,"$18,000-$22,000",$400-$700,20-25,$0,10 kWh,"$10,000-$12,000",$500,"$1,000-$3,000",$0-$500,$0,$0,Nova Scotia rebates limited. Primary utility is Nova Scotia Power. No coordinated provincial program.,Nova Scotia Power,NS,Halifax,2026-08-17
CA,Los Angeles,USA,LADWP,2100,"$2,500/ton",3-4-ton,"$13,000-$22,000",$800,18,"$0",6kW,"$15,000-$18,000",$1200,13,"$5,400",13.5kWh,"$12,000","$2,500",$0,$0,"$1,000",$75,"Federal ITC expired 12/31/25. HEAR single-family closed 2/26. SMUD heat pump rebate $3000-4000/ton. Solar value reduced under NEM 3.0. EV charger through LADWP program, thermostat via utility rebates.","https://www.ladwp.com/rebates","https://www.energy.ca.gov/programs-and-topics/programs/inflation-reduction-act-residential-energy-rebate-programs","https://www.ladwp.com","2026-08-17"
CA,Long Beach,USA,LADWP,2100,"$2,500/ton",3-4-ton,"$13,000-$22,000",$800,18,"$0",6kW,"$15,000-$18,000",$1200,13,"$5,400",13.5kWh,"$12,000","$2,500",$0,$0,"$1,000",$75,"Same utility as LA. HEAR closed Feb 2026. NEM 3.0 reduces solar export value significantly.","https://www.ladwp.com/rebates","https://www.energy.ca.gov/programs-and-topics/programs/inflation-reduction-act-residential-energy-rebate-programs","https://www.ladwp.com","2026-08-17"
CA,Burbank,USA,LADWP,2100,"$2,500/ton",3-4-ton,"$13,000-$22,000",$800,18,"$0",6kW,"$15,000-$18,000",$1200,13,"$5,400",13.5kWh,"$12,000","$2,500",$0,$0,"$1,000",$75,"Same LADWP service area. HEAR program exhausted by Feb 2026.","https://www.ladwp.com/rebates","https://www.energy.ca.gov/programs-and-topics/programs/inflation-reduction-act-residential-energy-rebate-programs","https://www.ladwp.com","2026-08-17"
CA,Pasadena,USA,LADWP,2100,"$2,500/ton",3-4-ton,"$13,000-$22,000",$800,18,"$0",6kW,"$15,000-$18,000",$1200,13,"$5,400",13.5kWh,"$12,000","$2,500",$0,$0,"$1,000",$75,"LADWP territory. No state solar rebates available 2026.","https://www.ladwp.com/rebates","https://www.energy.ca.gov/programs-and-topics/programs/inflation-reduction-act-residential-energy-rebate-programs","https://www.ladwp.com","2026-08-17"
CA,Glendale,USA,LADWP,2100,"$2,500/ton",3-4-ton,"$13,000-$22,000",$800,18,"$0",6kW,"$15,000-$18,000",$1200,13,"$5,400",13.5kWh,"$12,000","$2,500",$0,$0,"$1,000",$75,"LADWP service area.","https://www.ladwp.com/rebates","https://www.energy.ca.gov/programs-and-topics/programs/inflation-reduction-act-residential-energy-rebate-programs","https://www.ladwp.com","2026-08-17"
CA,Santa Monica,USA,LADWP,2100,"$2,500/ton",3-4-ton,"$13,000-$22,000",$800,18,"$0",6kW,"$15,000-$18,000",$1200,13,"$5,400",13.5kWh,"$12,000","$2,500",$0,$0,"$1,000",$75,"LADWP territory.","https://www.ladwp.com/rebates","https://www.energy.ca.gov/programs-and-topics/programs/inflation-reduction-act-residential-energy-rebate-programs","https://www.ladwp.com","2026-08-17"
CA,Sacramento,USA,SMUD,2200,"$3,000-$4,000/ton",3-4-ton,"$13,000-$22,000",$900,14,"$2,000",6kW,"$15,000-$18,000",$1400,11,"$5,400",13.5kWh,"$12,000","$4,000",$1600,$0,"$600",$50,"SMUD: heat pump $3k-$4k/ton, panel upgrade $2k, Powerwall $5.4k, HPWH $4k. My Energy Optimizer + storage enrollment bonus $10k. Stacks with federal.","https://www.smud.org/Corporate/About-us/News-and-Media/2026/2026/SMUD-boosts-rebates-for-heat-pumps","https://www.energy.ca.gov/programs-and-topics/programs/inflation-reduction-act-residential-energy-rebate-programs","https://www.smud.org","2026-08-17"
CA,Folsom,USA,SMUD,2300,"$3,000-$4,000/ton",3-4-ton,"$13,000-$22,000",$900,14,"$2,000",6kW,"$15,000-$18,000",$1400,11,"$5,400",13.5kWh,"$12,000","$4,000",$1600,$0,"$600",$50,"SMUD service area.","https://www.smud.org/Corporate/About-us/News-and-Media/2026/2026/SMUD-boosts-rebates-for-heat-pumps","https://www.energy.ca.gov/programs-and-topics/programs/inflation-reduction-act-residential-energy-rebate-programs","https://www.smud.org","2026-08-17"
CA,Roseville,USA,SMUD,2300,"$3,000-$4,000/ton",3-4-ton,"$13,000-$22,000",$900,14,"$2,000",6kW,"$15,000-$18,000",$1400,11,"$5,400",13.5kWh,"$12,000","$4,000",$1600,$0,"$600",$50,"SMUD territory.","https://www.smud.org/Corporate/About-us/News-and-Media/2026/2026/SMUD-boosts-rebates-for-heat-pumps","https://www.energy.ca.gov/programs-and-topics/programs/inflation-reduction-act-residential-energy-rebate-programs","https://www.smud.org","2026-08-17"
CA,Rancho Cordova,USA,SMUD,2200,"$3,000-$4,000/ton",3-4-ton,"$13,000-$22,000",$900,14,"$2,000",6kW,"$15,000-$18,000",$1400,11,"$5,400",13.5kWh,"$12,000","$4,000",$1600,$0,"$600",$50,"SMUD service area.","https://www.smud.org/Corporate/About-us/News-and-Media/2026/2026/SMUD-boosts-rebates-for-heat-pumps","https://www.energy.ca.gov/programs-and-topics/programs/inflation-reduction-act-residential-energy-rebate-programs","https://www.smud.org","2026-08-17"
CA,San Francisco,USA,PG&E,3200,$250-$500,3-4-ton,"$13,000-$22,000",$1200,13,"$0",6kW,"$15,000-$18,000",$1400,10,"$0",13.5kWh,"$12,000",$500,$1600,$75,"$250","$50","PG&E serves Bay Area. Heat pump rebates $250-500 (needs verification). NEM 3.0 eliminates solar premium export comp. Bay Area SunShares provides installer discounts. Climate Equity Hub: free HPWH for income-qualified.","https://www.bayren.org/find-incentives","https://www.energy.ca.gov/programs-and-topics/programs/inflation-reduction-act-residential-energy-rebate-programs","https://www.bayren.org/homeowners/income-qualified-programs","2026-08-17"
CA,Oakland,USA,PG&E,3200,$250-$500,3-4-ton,"$13,000-$22,000",$1200,13,"$0",6kW,"$15,000-$18,000",$1400,10,"$0",13.5kWh,"$12,000",$500,$1600,$75,"$250",$50,"PG&E territory. High HDD due to Bay Area hills. CalEnergy Smart Homes offer but 2026 funding fully subscribed.","https://www.bayren.org/find-incentives","https://www.energy.ca.gov/programs-and-topics/programs/inflation-reduction-act-residential-energy-rebate-programs","https://www.bayren.org","2026-08-17"
CA,San Jose,USA,PG&E,2800,$250-$500,3-4-ton,"$13,000-$22,000",$1100,15,"$0",6kW,"$15,000-$18,000",$1400,10,"$0",13.5kWh,"$12,000",$500,$1600,$75,"$250",$50,"PG&E service area. Lower HDD than SF.","https://www.bayren.org/find-incentives","https://www.energy.ca.gov/programs-and-topics/programs/inflation-reduction-act-residential-energy-rebate-programs","https://www.bayren.org","2026-08-17"
CA,Berkeley,USA,PG&E,3300,$250-$500,3-4-ton,"$13,000-$22,000",$1200,13,"$0",6kW,"$15,000-$18,000",$1400,10,"$0",13.5kWh,"$12,000",$500,$1600,$75,"$250",$50,"PG&E. Higher HDD reflecting elevation and latitude.","https://www.bayren.org/find-incentives","https://www.energy.ca.gov/programs-and-topics/programs/inflation-reduction-act-residential-energy-rebate-programs","https://www.bayren.org","2026-08-17"
CA,Fremont,USA,PG&E,2600,$250-$500,3-4-ton,"$13,000-$22,000",$1100,15,"$0",6kW,"$15,000-$18,000",$1400,10,"$0",13.5kWh,"$12,000",$500,$1600,$75,"$250",$50,"PG&E service area. South Bay location has lowest HDD in Bay Area.","https://www.bayren.org/find-incentives","https://www.energy.ca.gov/programs-and-topics/programs/inflation-reduction-act-residential-energy-rebate-programs","https://www.bayren.org","2026-08-17"
